id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
493,"5928 West Mauna Loa Lane","Glendale ",AZ,85306,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
494,"6988 West Blackhawk Drive","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
495,"5803 West Gelding Drive","Glendale ",AZ,85306,Maricopa,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",6
496,"6201 West Olive Avenue","Glendale ",AZ,85302,Maricopa,"Climbing, Hiking",YES,RVs,"Forest, Mountains",6
497,"9009 West Nicolet Avenue","Glendale ",AZ,85305,Maricopa,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",6
498,"13116 West Palo Verde Drive","Litchfield Park ",AZ,85340,Maricopa,Hiking,NO,"Lodging, RVs, Tents",Forest,6
499,"5039 North 57th Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
500,"5615 West Acoma Drive","Glendale ",AZ,85306,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
501,"5843 West McLellan Road","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
502,"6040 West Kings Avenue","Glendale ",AZ,85306,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
503,"6315 North Oro Vista Court","Litchfield Park ",AZ,85340,Maricopa,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",6
504,"7232 West Melinda Lane","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
505,"5632 West Acoma Drive","Glendale ",AZ,85306,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
506,"6228 West Larkspur Drive","Glendale ",AZ,85304,Maricopa,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",6
507,"7427 West Abraham Lane","Glendale ",AZ,85308,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
508,"7802 North Alsup Road","Litchfield Park ",AZ,85340,Maricopa,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",6
509,"6932 West Montebello Avenue","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
510,"21323 North 64th Avenue","Glendale ",AZ,85308,Maricopa,Hiking,NO,"Lodging, RVs, Tents",Forest,6
511,"13066 North 56th Avenue","Glendale ",AZ,85304,Maricopa,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",6
512,"4375 West Missouri Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",6
513,"7822 West Peppertree Lane","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
514,"6802 North 67th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
515,"5434 West Beck Lane","Glendale ",AZ,85306,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
516,"6373 West Golden Lane","Glendale ",AZ,85302,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
517,"4405 West Solano Drive South","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
518,"6521 North 65th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
519,"8398 West Denton Lane","Glendale ",AZ,85305,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
520,"20000 North 57th Avenue","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
521,"8028 North 56th Lane","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
522,"5556 West Northview Avenue","Glendale ",AZ,85301,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
523,"9428 North 65th Drive","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
524,"6729 North 54th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
525,"7453 West Melinda Lane","Glendale ",AZ,85308,Maricopa,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
526,"7770 West Bell Road","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
527,"8318 North 57th Drive","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
528,"4525 West Frier Drive","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
529,"8216 West Citrus Way","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
530,"7326 North 62nd Avenue","Glendale ",AZ,85301,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
531,"5128 West Carol Avenue","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
532,"6902 West Sherri Jean Lane","Peoria ",AZ,85382,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
533,"6407 West Monte Cristo Avenue","Glendale ",AZ,85306,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
534,"17722 North 79th Avenue","Glendale ",AZ,85308,Maricopa,Hiking,NO,"Lodging, RVs, Tents",Forest,6
535,"6221 West Wethersfield Road","Glendale ",AZ,85304,Maricopa,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",6
536,"6601 North 62nd Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",6
537,"6604 West Montebello Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
538,"6862 North 44th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
539,"7192 West Topeka Drive","Glendale ",AZ,85308,Maricopa,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
540,"6514 West Golden Lane","Glendale ",AZ,85302,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
541,"6116 West Charter Oak Road","Glendale ",AZ,85304,Maricopa,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",6
542,"8404 West Myrtle Avenue","Glendale ",AZ,85305,Maricopa,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
543,"6041 North 72nd Lane","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
544,"6610 North 93rd Avenue","Glendale ",AZ,85305,Maricopa,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
545,"5701 North 67th Avenue","Glendale ",AZ,85301,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
546,"6928 North 87th Lane","Glendale ",AZ,85305,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
547,"5011 West New World Drive","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
548,"15082 North 59th Avenue","Glendale ",AZ,85306,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
549,"5549 West Hearn Road","Glendale ",AZ,85306,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
550,"6451 West Bell Road","Glendale ",AZ,85308,Maricopa,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
551,"8595 North 71st Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
552,"5244 West Port Au Prince Lane","Glendale ",AZ,85306,Maricopa,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
553,"7113 North 69th Avenue","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
554,"20250 North 67th Avenue","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
555,"4922 West Cholla Street","Glendale ",AZ,85304,Maricopa,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
556,"4726 West Palmaire Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
557,"10202 North 51st Drive","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
558,"8150 North 61st Avenue","Glendale ",AZ,85302,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
559,"5950 West Missouri Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
560,"7400 West Arrowhead Clubhouse Drive","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
561,"23124 North 71st Drive","Glendale ",AZ,85310,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
562,"6515 West Poinsettia Drive","Glendale ",AZ,85304,Maricopa,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",6
563,"5275 North 59th Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
564,"18330 North 79th Avenue","Glendale ",AZ,85308,Maricopa,Hiking,NO,"Lodging, RVs, Tents",Forest,6
565,"9828 East Pueblo Avenue","Mesa ",AZ,85208,Maricopa,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",6
566,"6123 West Marlette Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
567,"7401 West Arrowhead Clubhouse Drive","Glendale ",AZ,85308,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
568,"6748 West San Juan Avenue","Glendale ",AZ,85303,Maricopa,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",6
569,"5708 West Union Hills Drive","Glendale ",AZ,85308,Maricopa,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
570,"15238 North 65th Avenue","Glendale ",AZ,85306,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
571,"15010 North 59th Avenue","Glendale ",AZ,85306,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
572,"7101 West Beardsley Road","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
573,"5929 West Via Montoya Drive","Glendale ",AZ,85310,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
574,"6328 West Brown Street","Glendale ",AZ,85302,Maricopa,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",6
575,"5837 West Evans Drive","Glendale ",AZ,85306,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
576,"6604 North 59th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
577,"6717 North 59th Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
578,"6950 West Nicolet Avenue","Glendale ",AZ,85303,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
579,"19404 North 77th Avenue","Glendale ",AZ,85308,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
580,"6622 West Mescal Street","Glendale ",AZ,85304,Maricopa,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",6
581,"13426 West Rovey Avenue","Litchfield Park ",AZ,85340,Maricopa,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",6
582,"7085 West Northern Avenue","Glendale ",AZ,85303,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
583,"8821 West Myrtle Avenue","Glendale ",AZ,85305,Maricopa,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",6
584,"5024 West Christy Drive","Glendale ",AZ,85304,Maricopa,"Climbing, Hiking",NO,Tents,"Forest, Mountains",6
585,"8427 West Glendale Avenue","Glendale ",AZ,85305,Maricopa,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",6
586,"12460 West Solano Drive","Litchfield Park ",AZ,85340,Maricopa,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",6
587,"5222 West Laurie Lane","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",6
588,"6114 West Glenn Drive","Glendale ",AZ,85301,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
589,"7772 West Palmaire Avenue","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
590,"6311 West Wagoner Road","Glendale ",AZ,85308,Maricopa,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
591,"7841 North 59th Lane","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
592,"1865 North Higley Road","Mesa ",AZ,85205,Maricopa,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",6
593,"6118 North 60th Avenue","Glendale ",AZ,85301,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
594,"5740 North 59th Avenue","Glendale ",AZ,85301,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
595,"6657 West Rose Garden Lane","Glendale ",AZ,85308,Maricopa,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",6
596,"6231 North 67th Avenue","Glendale ",AZ,85301,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
597,"10654 North 60th Avenue","Glendale ",AZ,85304,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
598,"6741 West Robert E Lee Street","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
599,"6740 West Montebello Avenue","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
600,"5615 West Villa Maria Drive","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
601,"6286 West Louise Drive","Glendale ",AZ,85310,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
602,"7419 West Hill Lane","Glendale ",AZ,85310,Maricopa,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
603,"8546 North 59th Lane","Glendale ",AZ,85302,Maricopa,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
604,"7701 West Saint John Road","Glendale ",AZ,85308,Maricopa,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
605,"7401 North 61st Drive","Glendale ",AZ,85301,Maricopa,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
606,"6450 West Bethany Home Road","Glendale ",AZ,85301,Maricopa,Hiking,YES,"Lodging, RVs, Tents",Forest,6
607,"7111 North 75th Avenue","Glendale ",AZ,85303,Maricopa,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
608,"130 West Brown Road","Mesa ",AZ,85201,Maricopa,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",6
609,"918 Cheryl Ann Circle","Hayward ",CA,94544,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
610,"619 Colusa Avenue","Berkeley ",CA,94707,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
611,"46710 Crawford Street","Fremont ",CA,94539,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
612,"1515 Excelsior Avenue","Oakland ",CA,94602,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
613,"3819 Vineyard Avenue","Pleasanton ",CA,94566,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
614,"8063 Regency Drive","Pleasanton ",CA,94588,Alameda,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",1
615,"565 Amber Isle","Alameda ",CA,94501,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
616,"1011 Devon Drive","Hayward ",CA,94542,Alameda,"Climbing, Hiking",YES,RVs,"Forest, Mountains",1
617,"1797 Pasatiempo Drive","Chico ",CA,95928,Butte,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",7
618,"37122 Contra Costa Avenue","Fremont ",CA,94536,Alameda,Hiking,NO,"Lodging, RVs, Tents",Forest,1
619,"18789 Crane Avenue","Castro Valley ",CA,94546,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
620,"2703 Woolsey Street","Berkeley ",CA,94705,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
621,"637 Britannia Drive","Vallejo ",CA,94591,Solano,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
622,"43949 South Moray Street","Fremont ",CA,94539,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
623,"2685 California Street","Mountain View ",CA,94040,"Santa Clara","Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
624,"1528 Stafford Avenue","Hayward ",CA,94541,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
625,"22825 Paseo Place","Hayward ",CA,94541,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
626,"2443 Sierra Nevada Road","Mammoth Lakes ",CA,93546,Mono,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",16
627,"461 Alder Street","Eureka ",CA,95503,Humboldt,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",50
628,"826 Webster Street","Hayward ",CA,94544,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
629,"2 Sotelo Avenue","Piedmont ",CA,94611,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
630,"1265 Xavier Avenue","Hayward ",CA,94545,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
631,"1772 150th Avenue","San Leandro ",CA,94578,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
632,"1076 Foster Street","Alameda ",CA,94502,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
633,"3600 Pennsylvania Avenue","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
634,"2335 Orchard View Lane","Escondido ",CA,92027,"San Diego","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",9
635,"1521 159th Avenue","San Leandro ",CA,94578,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
636,"1219 Carleton Street","Berkeley ",CA,94702,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
637,"4981 Shirley Way","Livermore ",CA,94550,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
638,"4253 San Juan Avenue","Fremont ",CA,94536,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
639,"1701 Atlantic Street","Union City ",CA,94587,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
640,"800 California 116","Sebastopol ",CA,95472,Sonoma,"Climbing, Hiking",NO,Tents,"Forest, Mountains",5
641,"3959 Fairlands Drive","Pleasanton ",CA,94588,Alameda,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",1
642,"5938 Laguna Honda Street","Redding ",CA,96001,Shasta,Hiking,YES,"Lodging, RVs, Tents",Forest,27
643,"2704 McGee Avenue","Berkeley ",CA,94703,Alameda,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
644,"31770 Alvarado Boulevard","Union City ",CA,94587,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
645,"5110 East Shoshone Avenue","Orange ",CA,92867,Orange,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",14
646,"2348 Cantalise Drive","Dublin ",CA,94568,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
647,"9300 C Street","Oakland ",CA,94603,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
648,"45430 Lauri Lane","Oakhurst ",CA,93644,Madera,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",1
649,"7725 Ney Avenue","Oakland ",CA,94605,Alameda,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
650,"406 Ashwood Court","Vacaville ",CA,95688,Solano,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",0
651,"1061 Sumatra Street","Hayward ",CA,94544,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
652,"22572 Toreador Drive","Salinas ",CA,93908,Monterey,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
653,"682 Brighton Way","Livermore ",CA,94551,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
654,"1954 Wilson Court","Mountain View ",CA,94040,"Santa Clara",Hiking,NO,"Lodging, RVs, Tents",Forest,0
655,"3008 Russell Street","Berkeley ",CA,94705,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
656,"3777 Mowry Avenue","Fremont ",CA,94538,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
657,"2035 Ninth Street","Berkeley ",CA,94710,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
658,"1820 Scenic Avenue","Berkeley ",CA,94709,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
659,"35805 Alcazar Court","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",1
660,"3578 Galindo Street","Oakland ",CA,94601,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
661,"3189 Main Street","Mammoth Lakes ",CA,93546,Mono,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",16
662,"20370 California 116","Monte Rio ",CA,95462,Sonoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",5
663,"37608 2nd Street","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
664,"15557 Sutter Creek Road","Sutter Creek ",CA,95685,Amador,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
665,"1736 81st Avenue","Oakland ",CA,94621,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
666,"32532 Jean Drive","Union City ",CA,94587,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
667,"680 Quintana Road","Morro Bay ",CA,93442,"San Luis Obispo","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
668,"2708 Mabel Street","Berkeley ",CA,94702,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
669,"3415 Brookdale Drive","Santa Clara ",CA,95051,"Santa Clara","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
670,"20097 Butterfield Drive","Castro Valley ",CA,94546,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
671,"152 Holly Court","Mountain View ",CA,94043,"Santa Clara","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
672,"10881 Northforde Drive","Cupertino ",CA,95014,"Santa Clara","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
673,"210 Beachcomber Drive","Pismo Beach ",CA,93449,"San Luis Obispo","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
674,"169 Avenida Drive","Berkeley ",CA,94708,"Contra Costa","Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",1
675,"238 La Salle Avenue","Piedmont ",CA,94610,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
676,"2014 Clemens Road","Oakland ",CA,94602,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
677,"4511 Sloat Road","Fremont ",CA,94538,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
678,"3483 Canyon Creek Drive","San Jose ",CA,95132,"Santa Clara",Hiking,NO,"Lodging, RVs, Tents",Forest,0
679,"236 Alden Road","Hayward ",CA,94541,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
680,"29 Vista Flores","Pleasanton ",CA,94566,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
