observed,county,state,season,confirmed_sighting
"I don't know if this counts, but I talked to my grandfather the other day and he said he had gone up to our property in Monte Cristo. It was kind of late in the day, around 7 p.m. He usually does a perimeter walk of the property when he gets there and on this particular occasion, he had stopped down by the creek. He said he smelled this horrible smell that he had never smelled before. He described it as rotten meat and really bad B.O. He searched around the area and didn't see any tracks because the ground was really rocky. Where he was at, there is a big tree that has fallen over the creek. It's big enough for two people to walk over side by side. My grandfather hopped up on the tree and he said there were droppings right in the middle of it. He said he thought it might be elk droppings, but thought how on earth would an elk get up on this tree. When he told me the story, I told him that there was a bigfoot in his vicinity, that's where the smell was coming from. I read a lot of articles and a lot of people describe almost the same kind of smell. He also stated that our apple tree at the property doesn't have any apples on it anymore, and there are no chokecherries to be seen anymore. We usually have lots of apples and chokecherries. The deer and elk never eat them all. And the only apples they eat are the one's that fall on the ground. The rest are to high up the tree for them to get to. It would even be hard for a full grown moose to get the apples from the tree.",Weber County,Utah,Fall,no
"At approximately 10 pm one night, my wife and I returned home from a shopping trip. Upon opening the car door and stepping into the gravel driveway I heard a distinct and loud vocalization. It wasn't a howl, not a growl, nothing I had heard before which is what caught my attention. At 31 years old now, 28 then, I had spent my life in the outdoors, locally and abroad. I have never heard anything to match this. My wife asked me what it was and I had to admit I didn't know, but perhaps it was a big cat. But it didn't sound like a cat, and the only cats in the area that are known as 'big' would be bobcats, a big one being 18-29 lbs. I walked inside the house, cutting on the rear porch light, and walked through the house to the front deck where I walked back outside, cutting on the front deck light. I stood at the end of the deck facing east and listened intently. The 'cries' were coming from a ridge in a large woodlot across the railroad tracks behind our house. Our house is situated on 10 acres, and the rear property boundary is the railroad. At that time the nearest house to us, a couple of hundred yards to the east was uninhabited, but the next houses up and across the railroad tracks were. Between cries, I realized I could hear leaves rustling loudly as though two feet were shuffling through them in large strides. When the leaves stopped making noise, an agitated cry was heard. This went on for a minute or two, then the noises came from closer to the neighboring houses, then it started going in the other direction. I probably listened for ten minutes total, until could no longer hear the leaves moving, and howls were coming from farther away. It was mid fall and cold, the sky was clear, no traffic on the road in front of my house which intersects with the railroad maybe a quarter mile down the road. I have labored under the impression that the cries came from some kind of cat, but after listening to the Ohio recording, the cries I heard were frightfully akin to the howls on that recording. They were shorter and sounded more agitated as though something was making the 'issuer' of the cries mad. The large woodlot across the tracks is semi-surrounded by a loose assortment of houses in a neighborhood, which could be easily walked through unseen in the dark. Everything else for surrounding areas is farm pasture and mountain, in fact one mile from my house to the east starts a gravel road running across a mountain into the next county. My inside dogs were whining and agitated, but never offered to bark, then, they rarely do. However neighborhood dogs could be heard barking in the distance, beagles I know for sure and a German Shepherd.",Wythe County,Virginia,Fall,no
"I was fishing behind the fish hatchery in Ft. Chiswell my friend and me where coming out at dusk when it was getting dark I said, ""we need to go I don't want to be out here at night"" so we were walking down the trail so we get out of the forest, I was feeling very weird at this time because something didn't feel right to me it felt like someone was following as you already know you can tell if someone or something is looking at you, so I let my friend out of the tree line first because I always do that and when I was coming out I heard a crash in the woods it sounded like something crashed down from the tree I turn around and saw a dark figure standing in the trail we just got off of, my friend was 30 ft in front of me when he heard the thing that was in the woods he ran. I was brisk fully walking backwards and pulled my knife out I was in fear for my life from what I saw whatever it was stood I say around 7 to 8 ft tall I only saw the silhouette of it it was very tall and very broad across the shoulders, I saw it for about 3 to 4 seconds and ran to my left with incredible speed and I ran to the truck in fear for my life. On a later incident I was carp fishing near the river behind the fish hatchery again, I had 2 other friends with me I will not mention any of my friends names because they don't want to be included in what happened, and something threw what I believe was a rock at us I was scared but we left a few hours later because I was getting worried.",Wythe County,Virginia,Summer,no
"My wife and I were driving around and we were on a back road out in Wytheville, Virginia on queens knob road. It was dark out, not too late but it was dark and as we turned a corner my wife and I saw something in the middle of the road. It was about 4 foot tall and COVERED in fur. It was NOT a dog or any 4-legged animal. It was on 2 legs and it saw our car and ran and jumped over the fence towards the left like it was nothing. It pumped its arms as it ran and then jumped over the fence without using any effort at all. It then proceeded to run through the field with the sheep and we lost sight of it. My wife and I both talked about what we saw and we both had no doubts in our minds.",Wythe County,Virginia,Spring,yes
"I research mountain lions in NH, but I was caring for my mother and hadn't gotten out since Christmas Day, 2014. On 5/24/15 I decided to just go for a walk, no research. I did a Meet-up with someone who walked much faster than me. She left me at the power line. I was way downhill, but was determined to at least make it to the power line. I did, but when I turned back to go down to the car, I saw two huge prints near a tree by the trail. When I got to them, the heels were 3-4 inches deep in the soil and leaves. They touched and the toes went out and away from each other like a duck's feet. They seemed to be 15 inches long, but it was hard to tell with all the leaves, unevenness, grass, etc. I took photos and measurements (even on a walk I take a camera and tape measure). It was interesting as hiding by that tree the Futures Trail went right past the tree, above was the power line and behind the tree was the park road, so that it was an advantageous hunting spot as animals coming from six different directions could easily be hunted down. Going back to the car, I saw two more tracks to the right of the trail. One was about 10 inches. The other seemed to be 15 inches, but with a 10 inch track inside it. The toes were 5 inches across for the three toes that were embedded in the bank. The other toes were over the hardened trail. There was also a 5x6 inch parallelogram shape. I kick myself now as I didn't take a photo. Later I saw a knuckle-walking gorilla on TV and thought, ""That's what that was!"" It was a knuckle print and also was very deep. At the bottom I asked the ranger to do a casting and he said I could instead, so I bought plaster of Paris. It wasn't enough. I had to go back several days later (rain). The casts are awful. There were too many leaves, the toes broke off, etc. The interesting part was that the park ranger acknowledged the report with a ""Yeah, we get lots of reports of bigfoots, but we try to keep it on the down low."" When I asked him about mountain lion sightings, he seemed scared and said, ""You think there are mountain lions up there?"" It was odd that bigfoot was ""normal"" and mountain lions were ""strange""! When I came back, I heard from someone else that this same ranger had been followed down the hill by something he nicknamed Roy. He was hoping it was a bigfoot and not a lion. Part of his job is to clear the trails and make sure everyone is off the mountain. That night it got dark, and he was also ""helped"" off the mountain, though ""it"" always stayed the same distance behind him.",Windsor County,Vermont,Spring,no
"My mother related the story to me in 1969.  I remember it clearly. ""Your father and I had gone to Mt. Adams to picknick and enjoy his new Ford. We had driven some miles up into the hills when we found a partial clearing where we could park and enjoy ourselves. This was when we were engaged in 1941 and were just graduated from Grandview High School in Grandview, Washington. We stayed for part of the day at that spot. In the afternoon we had decided to leave. We had packed up and loaded the Ford with our stuff and were turning out of the clearing to go back to Grandview. As we were leaving I turned to see if we had left anything behind us and noticed something black moving in the clearing next to where we had parked. What I saw was a tall black creature covered with hair and very muscular walking quickly across the clearing parallel to us towards the forest. I said to your father, 'Look, whats that,' and pointed behind him at the creature. He slowed the car back down and looking where I pointed he said he didn't see anything. By the time he had slowed the car and looked the creature had dissapeared into the forest. I was the only one that saw it. When I told him what I had seen he said it was only a bear looking for berries to eat probably. I didn't want to argue with him as we were close to getting married and I didn't want to ruin a great outing and throw cold water on what had been a beautiful trip.",Yakima County,Washington,Fall,yes
"Laurie Durrell Duyck by way of Linda Durrell My two daughters and I were driving in to Yakima from our home in Naches. The road runs along the Naches River. Looking down at the river, as I always do to see deer or Bald Eagles, I saw a large dark figure at the edge of the water behind some bushes. Slamming on my brakes and backing up far enough to see the river again, the large figure was gone and no where to be seen. Of course my kids said, ""Sure Mom, Bigfoot...I don't think so"". About 2 weeks later I was driving on the same road coming home from Yakima in the evening. About a half mile from where I thought I had seen the other one, there were two standing side by side just looking down at the water. One was about a foot and a half taller than the other, both dark in color with very wide shoulders. And again by the time I stopped and backed up, there was nothing to be seen.",Yakima County,Washington,Summer,yes
"I will begin by saying that I am an avid extreme hunter and outdoorsman as is my companion on this trip.  We have hunted together for many years through all sorts of terrain and conditions, and have developed a certain uncanny sense for each other and the mountain. Normally I would not entertain writing this, but I have again been awaken by the re-occuring dream/nightmare of this mis-adventure.  The incident began after some brutal unsuccessful elk hunting on the Bethal Ridge above the Oak creek.  We are both local and know the mountain better than most. We decided to head over to the Cowiche were I had tagged a nice young bull the year before. The area supports a fair local herd and is extremely rugged. We had access to an area through a friend that owned some property and lived a very primitive lifestyle up there. Frank is his name and being a little eccentric his tales of bigfoot and not being caught on Divide ridge after dark were scoffed at by myself and hunting partner Justin. Anyway, we headed straight up the ridge in my hunting rig in late afternoon to pitch camp. We encountered three other rigs coming back down as the sun was setting. They were driving at a high rate of speed. I new one of the guys, he's a logger up there, and he stopped to warn us of the Divide Ridge after dark deal. I said thanks, see ya, and he proceeded back down the mountain, fast. Justin commented about being a bunch of wimps. We found a fair sight to spend the night. As some weather was coming in, we picked the heavily wooded very dense north slope to put out our bedrolls. The place had an eerie feel to it and I dismissed it as being in my head. We were gathering wood by flashlight for a fire when we both stopped and simultanously looked at each other. ""You smell that?"" ""Yeh, it's probably a couger kill"". A very strong rancid odor, not like rotting meat decay, just a putrid smell. We got a fire going and I put on a pot of venison chili. Justin started building the fire bigger and bigger. This was uncommon for him. I asked him. He stated ""something ain't right up hear tonight"" and I said I agree. We both know fear feeds on fear and dismissed it at that. Then we heard the first whistle/howl. The first one was distant and we could here clearly due to no wind and the cold. When elk call each other, people not familier with wapiti can mis-interpret these calls as whistles. This was no elk. Justin got out his cow elk call and responded with a short set of chirps. I got out my Weatherby and .44 Magnum. Something was not right. There was no initial response to Justin's cow calls. I put some more wood on the fire. Then came the second shrill howl, in the creek bottom right below us. It was loud and like nothing else we have ever heard and believe me when I tell you we have hunted every manner of ""known"" species in these mountains. My hair was literally standing on end. Justin said ""we're outta here right now, cover me, I'm pitching camp"". He started packing tarps and gear while I sat listening and watching, heavily armed. Justin is one of the most fearless men I have ever met. He was white with fear. Next thing we heard was feet walking in the snow, very loud crunching. Justin just about knocked me over getting to my rifle. The scarey part is, we have crashed enough hooved ungulates through the woods to know the sound of four legs crunching snow. This was very deliberate walking, not crashing or running. I screamed out that we were locked and loaded and who ever is out there to come into the light, hoping someone would. The crunching snow stopped. Now both Justin and I are very seasoned and responsible hunters and probably the last ones to shoot at noises in the dark, but this had gone far beyond that. There was something standing out there in the dark, large and not scared of us, which for any manner of ""known"" species in our mountains is unusual.  This silent standoff went on for about two minutes. We could see nothing outside the light of the fire and lanterns. Now mind you this creature was close enough that we could hear it walking in the snow, so we knew it was still there, but there was no smell. I called out one more time and we fired one shot from my pistol into the air. Then all hell broke lose. There was a loud short grunt and running feet crunching in the snow, and we started firing reloading and firing. We did not stop shooting till we were loaded and well on our way. After a harrowing drive off the mountain at night in the snow, which I do not reccommend to even experienced drivers, we made it back to the my ranch. My wife took one look at us and knew something was truely wrong. Justin refused to talk the whole drive off the mountain. And to this day refuses to talk about it. I have no desire to go back up Divide Ridge to investigate. It is 3:00 A.M. and I'm am writing this after I was awaken again by this same incident. I am still an avid hunter, but I stick to Bethal Ridge. Make no mistake, this incident has changed my perspective. I would encourage anyone interested in this to spend some time on Divide Ridge, good luck.",Yakima County,Washington,Fall,no
We showed up and set up camp around 5:00pm. Started the fire and around 9:00pm the noises followed shortly therafter. We heard the noise about a half mile away and it progressevly got louder. It was still getting darker when we heard the noises and we saw a bird flying overhead and swooping down and then the noise was heard. We are all pretty sure that the noise was not bear or elk. It sounded like a schreech howl grunt. We heard the noise again the next day around the same time.,Yakima County,Washington,Summer,no
"While on a family camping trip this summer, my husband, our two teenage boys, and our two Newfoundland dogs headed out towards Naches where my husband often hunts. We don't like ""organized"" camping, so we headed towards Bumping Lake in the Mt Baker/Snoqualmie National Forest. We had got a late start, and arrived at the lake about 8:00 pm. We continued on past the camping area at the dam about 4 or 5 miles towards the ""Deep Creek"" area, hoping for a secluded camping spot by the lake. We turned off on a four-wheel drive trail about a mile from Deep Creek. Found a campsite next to a swamp, and as it was getting late and almost dark, we decided to camp. After setting up camp, about 10:00 pm, our dogs went absolutely nuts, barking and very excited...a few minutes later, a car arrived looking for a camp site, but turned and left. The dogs definitly heard this car well before we did, and did their job annoucing the presence of this ""intruder."" We fired up the campfire and ate a late dinner, while getting comfortable with our surroundings. It was a mild night, it had been hot and dry for some time. About midnight our two boys headed off to bed. Our big male Newfoundland was chained to a tree about 5 yards away from the campsite. Our female Newf was at our feet, as usual. It was extremely quite where we were. My husband and I were sitting by the campfire relaxing when, out of the swamp beside us, not more than 100 to 200 feet away came a noise, a screem or a grunt that changed pitch to a screech and then ended in a grunt-huffing sound, lasting a long time. The dogs had not reacted at all until they heard this scream, when they went wild. My husband is a logger and advide hunter-outdoorsman, so I turned to him and asked ""what was that?"" From the look of his eyes and on his face, I knew that he did not know what it was. He has heard the voices of about every animal in the Pacific Northwest at some time in 30 plus years of being in the woods. Our oldest son came out of the tent and asked if ""someone was messing with us."" He thought it sounded very human-like. Please remember that there was absolutely no noise, ie sticks or brush breaking or moving prior to the scream, and the dogs didn't detect anything around us, and they were extremely on edge in their new surroundings. We got the dogs settled down and began discussing possibilities of what was out there. All was quite about 15 minutes later, when we heard what sounded like two sticks being hit together about 100 yards north of the original scream. The dogs once again went nuts. About another 15 minutes went by when we heard this same noise of sticks being hit together, this time farther away, about 300 yards north and the dogs once again did their thing. Whatever it was had moved silently through the brush in the swamp, apparently downwind from us as the dogs detected no movement between the noises. About an hour later we found ourselves in the middle of a dry-lighting storm and heard no more unusal sounds. The following morning my husband and sons went on a search of the area and found no tracks or broken brush around the swamp. We promptly packed up and moved to Deep Creek!",Yakima County,Washington,Summer,no
"My nephew, his girlfriend and I were camping at the Bumping Lake camp grounds adjacent to the boat launch. It was about 10:30pm and we had just finished cleaning up after dinner. All of us goofed off for awhile running through the dark woods with flashlights, just exploring. After getting our fill of that, we built a fire in our fire-pit and were just relaxing and talking. Suddenly, we heard a horrific scream coming from behind us on what I think was Nelson Ridge. It was a long, high-pitched bellow that instantly caught our attention. The scream was a classic sasquatch scream, trying to catch the attention of another. About 15 seconds later, we heard another roar come back from down-range from what I think was Miners Ridge. We were all petrified and instantly knew what it was. Things settled down and we ended up going to bed. My nephew and I were up, decidedly exited about what we heard. We were laying in our tent, just talking. Suddenly, we heard another scream. Both of us grabbed our hand-guns at that point. We weren't sure what was going to happen. Eventually we fell asleep and nothing else happened. We are planning a trip back to Bumping Lake, specifically to look for what we heard.",Yakima County,Washington,Summer,no
"First of all I don't know if this incident is a big deal or not, but I been a outdoorsman for many years and it kind of caught my attention. I was Elk hunting in the Bumping river area of Yakima County. I was walking up the American ridge trail in the am Hours. I had reached a portion of the the trail that was flat and had soft dirt. I noticed a foot print on the trail. My first thought was why would someone walk barefooted up on the mountain. The track was not large. It looked like a slender womans foot print. I followed the track up the trail for about six to eight feet and I then lost sight of the track. I continued walking and I heard a wierd whistling sound. It wasn't real loud, but I definetly didn't recognize it. I started to put things together in my mind (Track/Whistle) and the hair on the back of my neck stood up. I continued up the trail and eventually sat down to watch a draw for any elk that may be crossing. I again heard the whistling sound. I have been hunting in this exact area since about 1977 including other places and I don't recall hearing a similair sound. Looking back now, It seems even more strange that if the foot print was in fact a person that had taken off their shoes to fix their socks or whatever, why would they walk up the trail, especially in late October?",Yakima County,Washington,Winter,no
June 11th. 6:00 pm. Witnessed large creature crossing road north of Glewood on Yakima Indian Reservation returning from the K 1400 raft launch on the Klickitat river. Headed from north to south possibly enroute to Bird Creek.,Yakima County,Washington,Summer,yes
"Elk Camp 2001 . . . VERY LOUD and LONG VOLCALIZATIONS! The night before the incident, I aimed my 2,000,000 candle power spotlight to the cliffs and caves above the camp. As usual the relatives were around the campfire till late at night (1:00 a.m.) cracking jokes and making the most racket around, long after other area camps shut off their noisy generators. Believed this attracted it's couriousity. The relatives (3) who witnessed the sounds are very experienced outdoorsmen. One worked in the Northwest woods as a surveyor and has been chased by bears a couple of times (One time his co-worker had his pack ripped from his back as they ran) and all three know the sounds animals make. What they heard was NOT something like a Bear or Cougar! They are braver than most, not easily frightened by anyone or anything! The night of the incident was quiet and cold . . . about 2:30 a.m. one relative went outside the tent to relieve himself. As usual, he shined his flashlight around the perimeter of the camp. As the light beam went close to the creature, it let out a VERY LOUD and LONG Volcalization as it ran through the dense timber. The noise was very intense and continious without breaking branches along the way and again 3/4 mile up the high ridge. It seemed to be mad for almost being spotted and made the sound as it ran as though it was without effort. Comparable to a kids loud car stereo turned on with the volume already up and was steady for 10 - 12 seconds. The second time up the ridge could have been from another creature but sounded like the same one. It would have easily beaten any person up the heavily timbered and steep ridge. It was defenetly NOT any known animal like a Bear bellaring as it ran or a cougar. The noise was so loud it woke up three camps about 1/4 mile apart. The relatives left a gas lantern on until it burned out each night afterwards and they went out with a loaded gun or second person with their loaded gun. None of them will EVER sleep on the ground again! That week of hard hunting, the 14 other hunters in the area didn't see any Elk or Deer. Also did not hear any coyotes! Seemed like everthing was frightened away, very unusual. There was no sign in the hard frozen ground or up the high ridge the next day.",Yakima County,Washington,Fall,no
when i was a kid we lived out side of yakima out in the country by parker a little town out side of yakima . Near the yakima river matter of fact we were so close to the river that in the spring when the river rose we had to move the animals an go into town .the woods were thick we had a pig pen it was a long ways away from the house really thickly wooded. all the time we lived there you wood hear shrill whistling whistling in the bushes at this time we were maybe ten years old never heard of bigfoot before im 48 years old now so it was long ago.It was in the ninteen sixtys way before roger patterson nobody knew about bigfoot . Well anyway us kids were sent into the woods to feed the cows at the big pond . We had two cows we had a little wagon with a bail of hay on it .We left it there for them to eat we left and stopped by the river to talk. Four of us kids we were all looking the same way when all of a sudden 30 feet away something something stepped from the clearing in full view of us took one step maybe six feet an dissapeared behind a bush it was id say eight feet tall hairy it took one step and was gone .We alllooked at each other an ran home nobody beleived us the said it may have been a hunter or something . that was the end of it . It was years later that i learned what it really was .I was 40 years old looking in a library when i saw something about it and what i read told of sightings of bigfoot in the same place where we lived the same years we lived there. It didnt try to chase us we were kids it could have caught us easily but i think it was just watching us . I also reamember my aunt going to kook for us kids at anoughter time at the pig pen we came home anighter way she came running up out of breath she heard a loud whistle behind her in the bushes i remmber hearing those all the time even in the daytime they were so shrill. Once my aunt was alone at the house at night she came out side to get into the car to pick us up in town she herd the shrill whistle behind her next to the house she tore out out of there so fast she drove right therw the loced fence. all of this is true he does exist i saw him . I have other stories to tell im half indian i spent my whole life in the yakima valley.,Yakima County,Washington,Summer,yes
I was traveling west on road 1502 (which is graveled) looking for a campsite for bow season. I glanced in my rearview mirror and saw a very large upright creature step to the middle of the road. I immediatly slowed down and quickly glanced around for a safe spot to pull over and there wasn't one I looked back over my shoulder through my canopy window and saw that the creature was still standing in the middle of the road. There was still a lot of dust in the air from where I had passed and all I could make out was that What I was looking at was very tall maybe (7 to 8 feet) and broad it also was very dark in color. The arms appeared to be held out slightly from the sides and reached to about mid thigh. when I reached a full stop the creature seemed to pivot on its left leg while swinging its arms turned to the left and took one step to the opposite side of the road and disapeared from view. When I looked at the area where it crossed I was unable to discern any tracks in the gravel that I could definately say were footprints. The area where the creature went off the road is very steep and rocky. I would not want to try going down it without ropes and I doubt if what I saw was another hunter out scouting since the hill ends in a cliff just a few hundred yards down.,Yakima County,Washington,Fall,yes
"First off I am not a true beliver in BigFoot.  I was messing around on the internet and stumbled apon your site.  I thought it would be funny to see what sightings have happend around my home city of Yakima Washington.  When I clicked on the report form of the July 2000 (class B) hearing sound around bumping lake, I got the chills.  Let me start from the begining.  Myself and a couple of buddies of mine took off from Yakima really late with the intent of climbing the trail and spending 3 days of camping at Twin Sisters. We were going to stay at the first lake (Or First Sister).  The lake is about 8 or 9 miles past bumping lake and you have to hike in about 1-1.25 miles straight up. When we arrived at the lake after taking way to long to climb the trail (Over confident and over packed) we set up came and got the fire going by 12:30am-1:00am.  We were exhausted and really didn't feel like drinking or anything else but eating and going to bed.  About two hours after going to bed I was awoken by some little grunting sounds.  I woke up kind of starteld but then realized they were basically a quarter the way around the lake so I just sat and listened.  All of a sudden they turned from little gruntings to a grunt/scream.  I quietly called out my friends Shawns name and he had been woken up and was listening to.  I asked him what the hell that was and after talking about it we both convinced ourselves that it was an elk or something.  I am not an animal call expert by any means but to this day when I think about that trip one of the first things I think about is how weird that sounded.  I have heard elk and deer grunts before but this sounded different. As Ron White would say ""I told you that story so I could tell you this one."" On the last night I slow cooked some stakes over the fire coals for about.  When they were done my friends and I were enjoying them when were heard something about 60 or 70 yards out from camp.  We were camped out below the rocky base of the mountain top.  Its like the dirt stops and the rocks go up the rest of the way.  The sound was coming from the rocky area but we all thought it was a cat or bear so we got up grabbed the guns and an axe and started out with a lantern to go see what the hell was out there.  The sound was like what a rock being thrown and hitting the other rocks and then coming to rest.  It didn't sound like a little rock slide and it happen several times until we got closer, infact we had barehanded our stakes and finished them while we were away from camp as close to the sounds as we could get without climbing the rocky face, they completely stopped.  At no time did we every think it was bigfoot but we couldn't figure out what would make a sound like that?  It didn't sound like an animal that was mearly passing by, it moved to quick and to speratic(as if someone was throwing at different targets.  The only reason I look back on it now is that I was watching a bigfoot special today on the history channel and they had a gentlemen on there saying bigfoot was throwing rocks at him.  And now looking back I could definatley see how someone or something throwing a rock down twords us could make that sound.  Were the activity was would be the exact place I would be if I wanted to mess with my buddies back at camp.  We always talk about those noises and never ever gave bigfoot a chance of being the sorce of the sounds and now I just don't know.  After all this time of not even considering it now that I think of that as a possiblity it makes more and more sence even though I don't truely believe in Bigfoot.",Yakima County,Washington,Summer,no
